accountsservice 26.13.3-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.15.2-2
amd-ucode 20260410-1
archlinux-xdg-menu 0.7.7-1
aspell 0.60.8.2-2
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.22-1
bluez 5.86-5
bluez-utils 5.86-5
btrfs-assistant 2.2-5
btrfs-progs 6.19.1-1
cantarell-fonts 1:0.311-1
cliphist 1:0.7.0-2
cryptsetup 2.8.6-1
device-mapper 2.03.40-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
discord 1:1.0.137-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92-1
dolphin 26.04.1-1
dosfstools 4.2-5
downgrade 12.0.1-1
dracut 109_eos-1
duf 0.9.1-1
dunst 1.13.2-1
e2fsprogs 1.47.4-1
efibootmgr 18-3
efitools 1.9.2-7
endeavouros-branding 26.03.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26.4-1
eos-apps-info 26-1
eos-dracut 1.7-1
eos-hooks 1.16.2-1
eos-hwtool 1.8-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-quickstart 1.4.1-1
eos-rankmirrors 26-1
ethtool 1:7.0-1
ex-vi-compat 2-1
exfatprogs 1.3.2-1
f2fs-tools 1.16.0-3
fastfetch 2.62.1-1
firefox 150.0.1-1
git 2.54.0-1
glances 4.5.4-1
grim 1.5.0-2
grub 2:2.14-1
grub-btrfs 4.14-1
gst-libav 1.28.2-1
gst-plugin-pipewire 1:1.6.4-1
gst-plugin-va 1.28.2-1
gst-plugins-bad 1.28.2-1
gst-plugins-ugly 1.28.2-1
haveged 1.9.20-1
hdparm 9.65-3
htop 3.5.1-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1
hypridle 0.1.7-9
hyprland 0.54.3-4
hyprlock 0.9.5-2
hyprpaper 0.8.4-1
hyprpolkitagent 0.1.3-7
inetutils 2.8-1
inxi 3.3.40.1-1
iptables 1:1.8.13-1
iwd 3.12-1
jfsutils 1.1.15-9
kitty 0.46.2-1
less 1:692-1
libdvdcss 1.5.0-1
libgsf 1.14.58-1
libopenraw 0.3.7-2
linux 7.0.3.arch1-2
linux-firmware 20260410-1
linux-headers 7.0.3.arch1-2
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lvm2 2.03.40-1
man-db 2.13.1-1
man-pages 6.18-1
mdadm 4.6-2
meld 3.22.3-2
mesa-utils 9.0.0-7
modemmanager 1.24.2-1
mtools 1:4.0.49-1
nano 9.0-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
neovim 0.12.2-1
netctl 1.29-2
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
nfs-utils 2.9.1-1
nilfs-utils 2.3.0-1
noto-fonts 1:2026.05.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.05.01-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
obsidian 1.12.7-2
openssh 10.3p1-1
os-prober 1.84-1
otf-font-awesome 7.2.0-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
perl 5.42.2-1
pipewire-alsa 1:1.6.4-1
pipewire-jack 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
pkgfile 25-2
plocate 1.1.24-1
poppler-glib 26.04.0-1
power-profiles-daemon 0.30-1
python 3.14.4-1
python-defusedxml 0.7.1-8
python-jinja 1:3.1.6-3
python-packaging 26.2-1
rebuild-detector 4.4.5-1
reflector 2023-5
reflector-simple 2026.1-1
rofi 2.0.0-1
rsync 3.4.2-1
rtkit 0.14-1
s-nail 14.9.25-1
sddm 0.21.0-6
sddm-silent-theme 1.4.2-1
sg3_utils 1.48-1
slurp 1.5.0-2
smartmontools 7.5-1
snap-pac 3.0.1-3
snapper 0.13.1-2
sof-firmware 2025.12.2-1
stow 2.4.1-1
sudo 1.9.17.p2-2
swayimg 5.2-1
sysfsutils 2.1.1-2
systemd-sysvcompat 260.1-2
texinfo 7.3-1
tldr 3.4.4-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
unrar 1:7.2.6-1
unzip 6.0-23
upower 1.91.2-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vulkan-radeon 1:26.0.6-1
waybar 0.15.0-2
waypaper 2.8-1
welcome 26.4.1-1
wget 1.25.0-3
which 2.23-1
whois 5.6.6-1
wireless-regdb 2026.03.18-1
wireplumber 0.5.14-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-desktop-portal-wlr 0.8.2-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xfsprogs 6.19.0-1
xl2tpd 1.3.20-1
xterm 409-1
yay 12.5.7-1
